web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-1,https://market.erniani.com/it/marche-cosmetici/,AA Cosmetics,https://market.erniani.com/it/aa-cosmetics/
1595276171-2,https://market.erniani.com/it/marche-cosmetici/,Abercrombie & Fitch,https://market.erniani.com/it/abercrombie-fitch/
1595276171-3,https://market.erniani.com/it/marche-cosmetici/,Academie,https://market.erniani.com/it/academie/
1595276171-4,https://market.erniani.com/it/marche-cosmetici/,Acqua dell' Elba,https://market.erniani.com/it/acqua-dell-elba/
1595276171-5,https://market.erniani.com/it/marche-cosmetici/,Acqua di Selva,https://market.erniani.com/it/acqua-di-selva/
1595276171-6,https://market.erniani.com/it/marche-cosmetici/,Adam Levine,https://market.erniani.com/it/adam-levine/
1595276171-7,https://market.erniani.com/it/marche-cosmetici/,A-Derma,https://market.erniani.com/it/a-derma/
1595276171-8,https://market.erniani.com/it/marche-cosmetici/,Adidas,https://market.erniani.com/it/adidas/
1595276171-9,https://market.erniani.com/it/marche-cosmetici/,Adidas Originals,https://market.erniani.com/it/adidas-originals/
1595276171-10,https://market.erniani.com/it/marche-cosmetici/,Adolfo Dominguez,https://market.erniani.com/it/adolfo-dominguez/
1595276171-11,https://market.erniani.com/it/marche-cosmetici/,Afnan,https://market.erniani.com/it/afnan/
1595276171-12,https://market.erniani.com/it/marche-cosmetici/,Agent Provocateur,https://market.erniani.com/it/agent-provocateur/
1595276171-13,https://market.erniani.com/it/marche-cosmetici/,AirStocking,https://market.erniani.com/it/airstocking/
1595276171-14,https://market.erniani.com/it/marche-cosmetici/,Ajax,https://market.erniani.com/it/ajax/
1595276171-15,https://market.erniani.com/it/marche-cosmetici/,Ajmal,https://market.erniani.com/it/ajmal/
1595276171-17,https://market.erniani.com/it/marche-cosmetici/,Albiva,https://market.erniani.com/it/albiva/
1595276171-18,https://market.erniani.com/it/marche-cosmetici/,Alcina,https://market.erniani.com/it/alcina/
1595276171-19,https://market.erniani.com/it/marche-cosmetici/,Alena Šeredová,https://market.erniani.com/it/alena-seredova/
1595276171-20,https://market.erniani.com/it/marche-cosmetici/,Alfaparf Milano,https://market.erniani.com/it/alfaparf-milano/
1595276171-21,https://market.erniani.com/it/marche-cosmetici/,Alfred Sung,https://market.erniani.com/it/alfred-sung/
1595276171-16,https://market.erniani.com/it/marche-cosmetici/,Al Haramain,https://market.erniani.com/it/al-haramain/
1595276171-22,https://market.erniani.com/it/marche-cosmetici/,Allskin,https://market.erniani.com/it/allskin/
1595276171-23,https://market.erniani.com/it/marche-cosmetici/,Alpecin,https://market.erniani.com/it/alpecin/
1595276171-24,https://market.erniani.com/it/marche-cosmetici/,Alphanova,https://market.erniani.com/it/alphanova/
1595276171-25,https://market.erniani.com/it/marche-cosmetici/,Altermed,https://market.erniani.com/it/altermed/
1595276171-26,https://market.erniani.com/it/marche-cosmetici/,Alterna,https://market.erniani.com/it/alterna/
1595276171-27,https://market.erniani.com/it/marche-cosmetici/,Always,https://market.erniani.com/it/always/
1595276171-28,https://market.erniani.com/it/marche-cosmetici/,Alyssa Ashley,https://market.erniani.com/it/alyssa-ashley/
1595276171-29,https://market.erniani.com/it/marche-cosmetici/,Ambientair,https://market.erniani.com/it/ambientair/
1595276171-30,https://market.erniani.com/it/marche-cosmetici/,AmbiPur,https://market.erniani.com/it/ambipur/
