web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-1,https://www.notino.it/marche-cosmetici/,AA Cosmetics,https://www.notino.it/aa-cosmetics/
1595276171-2,https://www.notino.it/marche-cosmetici/,Abercrombie & Fitch,https://www.notino.it/abercrombie-fitch/
1595276171-3,https://www.notino.it/marche-cosmetici/,Academie,https://www.notino.it/academie/
1595276171-4,https://www.notino.it/marche-cosmetici/,Acqua dell' Elba,https://www.notino.it/acqua-dell-elba/
1595276171-5,https://www.notino.it/marche-cosmetici/,Acqua di Selva,https://www.notino.it/acqua-di-selva/
1595276171-6,https://www.notino.it/marche-cosmetici/,Adam Levine,https://www.notino.it/adam-levine/
1595276171-7,https://www.notino.it/marche-cosmetici/,A-Derma,https://www.notino.it/a-derma/
1595276171-8,https://www.notino.it/marche-cosmetici/,Adidas,https://www.notino.it/adidas/
1595276171-9,https://www.notino.it/marche-cosmetici/,Adidas Originals,https://www.notino.it/adidas-originals/
1595276171-10,https://www.notino.it/marche-cosmetici/,Adolfo Dominguez,https://www.notino.it/adolfo-dominguez/
1595276171-11,https://www.notino.it/marche-cosmetici/,Afnan,https://www.notino.it/afnan/
1595276171-12,https://www.notino.it/marche-cosmetici/,Agent Provocateur,https://www.notino.it/agent-provocateur/
1595276171-13,https://www.notino.it/marche-cosmetici/,AirStocking,https://www.notino.it/airstocking/
1595276171-14,https://www.notino.it/marche-cosmetici/,Ajax,https://www.notino.it/ajax/
1595276171-15,https://www.notino.it/marche-cosmetici/,Ajmal,https://www.notino.it/ajmal/
1595276171-17,https://www.notino.it/marche-cosmetici/,Albiva,https://www.notino.it/albiva/
1595276171-18,https://www.notino.it/marche-cosmetici/,Alcina,https://www.notino.it/alcina/
1595276171-19,https://www.notino.it/marche-cosmetici/,Alena Šeredová,https://www.notino.it/alena-seredova/
1595276171-20,https://www.notino.it/marche-cosmetici/,Alfaparf Milano,https://www.notino.it/alfaparf-milano/
1595276171-21,https://www.notino.it/marche-cosmetici/,Alfred Sung,https://www.notino.it/alfred-sung/
1595276171-16,https://www.notino.it/marche-cosmetici/,Al Haramain,https://www.notino.it/al-haramain/
1595276171-22,https://www.notino.it/marche-cosmetici/,Allskin,https://www.notino.it/allskin/
1595276171-23,https://www.notino.it/marche-cosmetici/,Alpecin,https://www.notino.it/alpecin/
1595276171-24,https://www.notino.it/marche-cosmetici/,Alphanova,https://www.notino.it/alphanova/
1595276171-25,https://www.notino.it/marche-cosmetici/,Altermed,https://www.notino.it/altermed/
1595276171-26,https://www.notino.it/marche-cosmetici/,Alterna,https://www.notino.it/alterna/
1595276171-27,https://www.notino.it/marche-cosmetici/,Always,https://www.notino.it/always/
1595276171-28,https://www.notino.it/marche-cosmetici/,Alyssa Ashley,https://www.notino.it/alyssa-ashley/
1595276171-29,https://www.notino.it/marche-cosmetici/,Ambientair,https://www.notino.it/ambientair/
1595276171-30,https://www.notino.it/marche-cosmetici/,AmbiPur,https://www.notino.it/ambipur/
1595276171-65,https://www.notino.it/marche-cosmetici/,Âme Pure,https://www.notino.it/ame-pure/
1595276171-31,https://www.notino.it/marche-cosmetici/,American Crew,https://www.notino.it/american-crew/
1595276171-32,https://www.notino.it/marche-cosmetici/,Amouage,https://www.notino.it/amouage/
1595276171-33,https://www.notino.it/marche-cosmetici/,Angel Schlesser,https://www.notino.it/angel-schlesser/
1595276171-34,https://www.notino.it/marche-cosmetici/,Animale,https://www.notino.it/animale/
1595276171-35,https://www.notino.it/marche-cosmetici/,Anna Sui,https://www.notino.it/anna-sui/
1595276171-36,https://www.notino.it/marche-cosmetici/,Annayake,https://www.notino.it/annayake/
1595276171-37,https://www.notino.it/marche-cosmetici/,Annick Goutal,https://www.notino.it/annick-goutal/
1595276171-38,https://www.notino.it/marche-cosmetici/,Antonio Banderas,https://www.notino.it/antonio-banderas/
1595276171-39,https://www.notino.it/marche-cosmetici/,Antonio Puig,https://www.notino.it/antonio-puig/
1595276171-40,https://www.notino.it/marche-cosmetici/,Apothecary 87,https://www.notino.it/apothecary-87/
1595276171-41,https://www.notino.it/marche-cosmetici/,Aquafresh,https://www.notino.it/aquafresh/
1595276171-42,https://www.notino.it/marche-cosmetici/,Aquolina,https://www.notino.it/aquolina/
1595276171-43,https://www.notino.it/marche-cosmetici/,Aramis,https://www.notino.it/aramis/
1595276171-44,https://www.notino.it/marche-cosmetici/,Arcocere,https://www.notino.it/arcocere/
1595276171-45,https://www.notino.it/marche-cosmetici/,Ardell,https://www.notino.it/ardell/
1595276171-46,https://www.notino.it/marche-cosmetici/,Argan Oil,https://www.notino.it/argan-oil/
1595276171-47,https://www.notino.it/marche-cosmetici/,Ariana Grande,https://www.notino.it/ariana-grande/
1595276171-48,https://www.notino.it/marche-cosmetici/,Ariel,https://www.notino.it/ariel/
1595276171-49,https://www.notino.it/marche-cosmetici/,Armaf,https://www.notino.it/armaf/
1595276171-50,https://www.notino.it/marche-cosmetici/,Armand Basi,https://www.notino.it/armand-basi/
1595276171-51,https://www.notino.it/marche-cosmetici/,Armani,https://www.notino.it/armani/
1595276171-52,https://www.notino.it/marche-cosmetici/,Ashleigh & Burwood London,https://www.notino.it/ashleigh-burwood-london/
1595276171-53,https://www.notino.it/marche-cosmetici/,ASIOO,https://www.notino.it/asioo/
1595276171-54,https://www.notino.it/marche-cosmetici/,Asombroso by Osmany Laffita,https://www.notino.it/asombroso/
1595276171-55,https://www.notino.it/marche-cosmetici/,Astor,https://www.notino.it/astor/
1595276171-56,https://www.notino.it/marche-cosmetici/,Astrid,https://www.notino.it/astrid/
1595276171-57,https://www.notino.it/marche-cosmetici/,Atkinsons,https://www.notino.it/atkinsons/
1595276171-58,https://www.notino.it/marche-cosmetici/,Auriga,https://www.notino.it/auriga/
1595276171-59,https://www.notino.it/marche-cosmetici/,Aussie,https://www.notino.it/aussie/
1595276171-60,https://www.notino.it/marche-cosmetici/,Aveda,https://www.notino.it/aveda/
1595276171-61,https://www.notino.it/marche-cosmetici/,Avène,https://www.notino.it/avene/
1595276171-62,https://www.notino.it/marche-cosmetici/,Avon,https://www.notino.it/avon/
1595276171-63,https://www.notino.it/marche-cosmetici/,Axe,https://www.notino.it/axe/
1595276171-64,https://www.notino.it/marche-cosmetici/,Azzaro,https://www.notino.it/azzaro/
1595276171-67,https://www.notino.it/marche-cosmetici/,Babaria,https://www.notino.it/babaria/
1595276171-68,https://www.notino.it/marche-cosmetici/,BaByliss,https://www.notino.it/babyliss/
1595276171-69,https://www.notino.it/marche-cosmetici/,BaByliss PRO,https://www.notino.it/babyliss-pro/
1595276171-70,https://www.notino.it/marche-cosmetici/,Badger,https://www.notino.it/badger/
1595276171-71,https://www.notino.it/marche-cosmetici/,Baldessarini,https://www.notino.it/baldessarini/
1595276171-72,https://www.notino.it/marche-cosmetici/,Balenciaga,https://www.notino.it/balenciaga/
1595276171-74,https://www.notino.it/marche-cosmetici/,Banana Republic,https://www.notino.it/banana-republic/
1595276171-75,https://www.notino.it/marche-cosmetici/,Baobab,https://www.notino.it/baobab/
1595276171-76,https://www.notino.it/marche-cosmetici/,Barbie,https://www.notino.it/barbie/
1595276171-77,https://www.notino.it/marche-cosmetici/,Barnängen,https://www.notino.it/barnangen/
1595276171-78,https://www.notino.it/marche-cosmetici/,Barry M,https://www.notino.it/barry-m/
1595276171-79,https://www.notino.it/marche-cosmetici/,Bath & Body Works,https://www.notino.it/bath-body-works/
1595276171-80,https://www.notino.it/marche-cosmetici/,Batiste,https://www.notino.it/batiste/
1595276171-81,https://www.notino.it/marche-cosmetici/,Baylis & Harding,https://www.notino.it/baylis-harding/
1595276171-82,https://www.notino.it/marche-cosmetici/,beautyblender®,https://www.notino.it/beautyblender/
1595276171-83,https://www.notino.it/marche-cosmetici/,Bel,https://www.notino.it/bel/
1595276171-84,https://www.notino.it/marche-cosmetici/,Bellissima,https://www.notino.it/bellissima/
1595276171-85,https://www.notino.it/marche-cosmetici/,Below the Belt Grooming,https://www.notino.it/below-the-belt/
1595276171-86,https://www.notino.it/marche-cosmetici/,Benecos,https://www.notino.it/benecos/
1595276171-87,https://www.notino.it/marche-cosmetici/,Benetton,https://www.notino.it/benetton/
1595276171-88,https://www.notino.it/marche-cosmetici/,Bentley,https://www.notino.it/bentley/
1595276171-89,https://www.notino.it/marche-cosmetici/,Benton,https://www.notino.it/benton/
1595276171-90,https://www.notino.it/marche-cosmetici/,Bepanthen,https://www.notino.it/bepanthen/
1595276171-91,https://www.notino.it/marche-cosmetici/,Betty Boop,https://www.notino.it/betty-boop/
1595276171-92,https://www.notino.it/marche-cosmetici/,Beverly Hills Formula,https://www.notino.it/beverly-hills-formula/
1595276171-93,https://www.notino.it/marche-cosmetici/,Beviro,https://www.notino.it/be-viro-mens-only/
1595276171-94,https://www.notino.it/marche-cosmetici/,Beyoncé,https://www.notino.it/beyonce/
1595276171-95,https://www.notino.it/marche-cosmetici/,BH Cosmetics,https://www.notino.it/bhcosmetics/
1595276171-96,https://www.notino.it/marche-cosmetici/,Bielenda,https://www.notino.it/bielenda/
1595276171-97,https://www.notino.it/marche-cosmetici/,Bijan,https://www.notino.it/bijan/
1595276171-98,https://www.notino.it/marche-cosmetici/,Bio Beauté by Nuxe,https://www.notino.it/bio-beaute-by-nuxe/
1595276171-100,https://www.notino.it/marche-cosmetici/,Bioderma,https://www.notino.it/bioderma/
1595276171-99,https://www.notino.it/marche-cosmetici/,Bio Ionic,https://www.notino.it/bio-ionic/
1595276171-101,https://www.notino.it/marche-cosmetici/,Biolage,https://www.notino.it/biolage/
1595276171-102,https://www.notino.it/marche-cosmetici/,Bioliq,https://www.notino.it/bioliq/
1595276171-103,https://www.notino.it/marche-cosmetici/,Bione Cosmetics,https://www.notino.it/bione-cosmetics/
1595276171-104,https://www.notino.it/marche-cosmetici/,Bio-Oil,https://www.notino.it/bio-oil/
1595276171-105,https://www.notino.it/marche-cosmetici/,Biorepair,https://www.notino.it/biorepair/
1595276171-106,https://www.notino.it/marche-cosmetici/,Biosilk,https://www.notino.it/biosilk/
1595276171-107,https://www.notino.it/marche-cosmetici/,Biotherm,https://www.notino.it/biotherm/
1595276171-108,https://www.notino.it/marche-cosmetici/,BlanX,https://www.notino.it/blanx/
1595276171-109,https://www.notino.it/marche-cosmetici/,Blistex,https://www.notino.it/blistex/
1595276171-110,https://www.notino.it/marche-cosmetici/,Bloom,https://www.notino.it/bloom/
1595276171-111,https://www.notino.it/marche-cosmetici/,Bloomy Lotus,https://www.notino.it/bloomy-lotus/
1595276171-112,https://www.notino.it/marche-cosmetici/,Blumarine,https://www.notino.it/blumarine/
1595276171-113,https://www.notino.it/marche-cosmetici/,Boadicea the Victorious,https://www.notino.it/boadicea-the-victorious/
1595276171-114,https://www.notino.it/marche-cosmetici/,Bobbi Brown,https://www.notino.it/bobbi-brown/
1595276171-115,https://www.notino.it/marche-cosmetici/,BodyBoom,https://www.notino.it/bodyboom/
1595276171-116,https://www.notino.it/marche-cosmetici/,Bohemia Crystal,https://www.notino.it/bohemia-crystal/
1595276171-117,https://www.notino.it/marche-cosmetici/,Bohemia Gifts & Cosmetics,https://www.notino.it/bohemia-gifts-cosmetics/
1595276171-118,https://www.notino.it/marche-cosmetici/,Bois 1920,https://www.notino.it/bois-1920/
1595276171-119,https://www.notino.it/marche-cosmetici/,Bond No. 9,https://www.notino.it/bond-no-9/
