web-scraper-order,web-scraper-start-url,catli,catli-href
1595342224-33,http://www.notino.it,Marche,https://www.notino.it/marche-cosmetici/
1595342224-30,http://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/
1595342224-32,http://www.notino.it,Altro,
1595342224-25,http://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/
1595342224-28,http://www.notino.it,Make-up,https://www.notino.it/make-up/
1595342224-27,http://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/
1595342224-29,http://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/
1595342224-23,http://www.notino.it,Profumi,https://www.notino.it/profumi/
1595342224-26,http://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/
1595342224-24,http://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/
1595342224-31,http://www.notino.it,Solari,https://www.notino.it/creme-solari/
