web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345488-1422,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,Trattamenti anticaduta,https://www.notino.it/caduta-dei-capelli/,,,,,,,,,,,,,,
1595345508-2664,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,Creme abbronzanti viso,https://www.notino.it/crema-abbronzante-viso/,,,,,,,,,,
1595345505-2527,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,Cura delle mani,https://www.notino.it/cura-delle-mani/,,,,,,,,
1595345498-2106,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,Unghie,https://www.notino.it/unghie/,,,,,,
1595345505-2530,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,Cura del corpo,https://www.notino.it/cura-del-corpo/,,,,,,,,
1595345508-2615,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,Shampoo,https://www.notino.it/shampoo/,,,,,,,,,,,,,,
1595345498-2135,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,,,,,Solarium,https://www.notino.it/prodotti-per-solarium/
1595345495-1955,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,,,Unghie,https://www.notino.it/unghie/,,,,,,
1595345495-1926,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,Rasatura e depilazione,https://www.notino.it/rasatura-e-depilazione-donna/,,,,,,,,
1595345503-2314,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,Shampoo,https://www.notino.it/shampoo/,,,,,,,,,,,,,,
1595345495-1917,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,Pelle sensibile,https://www.notino.it/cura-della-pelle-sensibile/,,,,,,,,,,
1595345508-2666,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,Accessori,https://www.notino.it/prodotti-per-il-viso/?f=1-1-2-3645-11517,,,,,,,,,,
1595345495-1946,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,,,Matite occhi,https://www.notino.it/matite-occhi/,,,,,,
1595345503-2426,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,,,,,,,,,Profumi per auto,https://www.notino.it/profumi-per-auto/,,
1595345488-1533,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,,,,,,,,,,,Autoabbronzanti,https://www.notino.it/creme-e-spray-autoabbronzanti/
1595345503-2308,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,Profumi agrumati,https://www.notino.it/profumi-agrumati/,,,,,,,,,,,,,,,,
1595345498-2134,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,,,,,Termoprotettori,https://www.notino.it/termoprotettori-per-capelli/
1595345495-1908,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,Contorno occhi,https://www.notino.it/contorno-occhi/,,,,,,,,,,
1595345503-2414,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,,,,,,,Rasatura tradizionale,https://www.notino.it/rasatura-tradizionale/,,,,
1595345500-2253,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,,,,,Trousse per cosmetici,https://www.notino.it/make-up/?f=1-1-2-3644-6942-40460,,,,,,
1595345500-2274,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,,,,,,,,,Collezione di nicchia,https://www.notino.it/niche/?f=1-1-53785-100225-6718,,
1595345500-2158,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,Profumi speziati,https://www.notino.it/profumi-speziati/,,,,,,,,,,,,,,,,
1595345498-2019,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,Prodotti per parrucchieri,https://www.notino.it/prodotti-per-parrucchieri/,,,,,,,,,,,,,,
1595345500-2206,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,Sieri viso,https://www.notino.it/sieri-viso/,,,,,,,,,,
1595345503-2402,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,,,,,Palette,https://www.notino.it/palette/,,,,,,
1595345495-1889,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,Cura del corpo,https://www.notino.it/dermocosmesi/?f=1-1-37171-3646,,,,,,,,,,,,
1595345493-1736,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,Cura del viso,https://www.notino.it/dermocosmesi/?f=1-1-37171-3645,,,,,,,,,,,,
1595345503-2333,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,Capelli danneggiati,https://www.notino.it/capelli-danneggiati/,,,,,,,,,,,,,,
1595345488-1392,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,Profumi di nicchia,https://www.notino.it/niche/,,,,,,,,,,,,,,,,
1595345505-2591,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,,,,,,,,,,,,,SPF 15–25,https://www.notino.it/creme-solari/?f=1-1-2-52434-3906
1595345498-2023,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,Phon,https://www.notino.it/phon-per-capelli/,,,,,,,,,,,,,,
1595345508-2674,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,Rughe e pelli mature,https://www.notino.it/antirughe-e-antiage/,,,,,,,,,,
1595345508-2604,https://www.notino.it,Profumi,https://www.notino.it/profumi/,Prodotti fragranzati corpo,https://www.notino.it/profumi/?f=1-1-55544-3623-3625,,,,,,,,,,,,,,,,
1595345493-1716,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,Tinte,https://www.notino.it/colorazione-dei-capelli/,,,,,,,,,,,,,,
1595345488-1447,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,,,,,,,Cura del viso,https://www.notino.it/cura-del-viso/,,,,,,,,,,
1595345493-1754,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,Creme giorno,https://www.notino.it/creme-giorno/,,,,,,,,,,
1595345505-2447,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,Profumi di nicchia,https://www.notino.it/niche/,,,,,,,,,,,,,,,,
1595345488-1402,https://www.notino.it,Solari,https://www.notino.it/creme-solari/,Profumi legnosi,https://www.notino.it/profumi-legnosi/,,,,,,,,,,,,,,,,
1595345500-2236,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,,,,,,,,,Calze spray,https://www.notino.it/calze-spray/,,,,,,,,
1595345500-2142,https://www.notino.it,Viso,https://www.notino.it/prodotti-per-il-viso/,Profumi,https://www.notino.it/profumi/,,,,,,,,,,,,,,,,
1595345503-2393,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,,,,,,,,,Correttori,https://www.notino.it/correttori/,,,,,,
1595345498-2129,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,,,,,Prodotti solari per il viso,https://www.notino.it/creme-solari/?f=1-1-2-3645-52433-52435
